1/2007	one two thousand seventh
1/2	one half
63 1/3	sixty three and a third
12/13	twelve thirteenths
231/351	two hundred thirty one three hundred fifty firsts
1/2	one half
7/29	seven twenty ninths
50/50	fifty fiftieths
445/446	four hundred forty five four hundred forty sixths
12/1930	twelve one thousand nine hundred thirtieths
210/1960	two hundred ten one thousand nine hundred sixtieths
128/129	one hundred twenty eight one hundred twenty ninths
9/10	nine tenths
9/11	nine elevenths
1/2	one half
2/2012	two two thousand twelfths
2/22	two twenty seconds
2 / 1	two over one
2 / 15	two fifteenths
1/50 000	one fifty thousandth
17/35	seventeen thirty fifths
3/9	three ninths
6/2008	six two thousand eighths
67/2006	sixty seven two thousand sixths
43/2004	forty three two thousand fourths
67/2006	sixty seven two thousand sixths
43/2004	forty three two thousand fourths
118/117	one hundred eighteen one hundred seventeenths
8 55 957/1982	eight and fifty five thousand nine hundred fifty seven one thousand nine hundred eighty seconds
90/91	ninety ninety firsts
24/7	twenty four sevenths
11/13	eleven thirteenths
1/20 000	one twenty thousandth
4/38	four thirty eighths
3/32	three thirty seconds
37/40	thirty seven fortieths
24/2011	twenty four two thousand elevenths
7/3	seven thirds
15/10	fifteen tenths
2/2	two halves
67/2008	sixty seven two thousand eighths
24/7	twenty four sevenths
2015/6	two thousand fifteen sixths
30/9	thirty ninths
100/201	one hundred two hundred firsts
4/30	four thirtieths
1/28	one twenty eighth
2/9	two ninths
11/11	eleven elevenths
1890/91	one thousand eight hundred ninety ninety firsts
4064/89	four thousand sixty four eighty ninths
7090/94	seven thousand ninety ninety fourths
5500/5400	five thousand five hundred five thousand four hundredths
5200/5000	five thousand two hundred five thousandths
8/10	eight tenths
29/11	twenty nine elevenths
611/612	six hundred eleven six hundred twelfths
243/2014	two hundred forty three two thousand fourteenths
1604/5	one thousand six hundred four fifths
1887/8	one thousand eight hundred eighty seven eighths
-1/2	minus one half
1 1/2	one and a half
167/1946	one hundred sixty seven one thousand nine hundred forty sixths
1946/47	one thousand nine hundred forty six forty sevenths
2012/13	two thousand twelve thirteenths
1/7	one seventh
470/471	four hundred seventy four hundred seventy firsts
62/100	sixty two one hundredths
1½	one and a half
360/650	three hundred sixty six hundred fiftieths
3/88	three eighty eighths
1/63	one sixty third
2013/531	two thousand thirteen five hundred thirty firsts
87/16	eighty seven sixteenths
11/22	eleven twenty seconds
6/8	six eighths
10/2011	ten two thousand elevenths
15/2	fifteen halves
1 1/2	one and a half
1/26	one twenty sixth
727/1327	seven hundred twenty seven one thousand three hundred twenty sevenths
728/1328	seven hundred twenty eight one thousand three hundred twenty eighths
69/75	sixty nine seventy fifths
8/10	eight tenths
443/2002	four hundred forty three two thousand seconds
5/5	five fifths
45/2	forty five halves
48/2	forty eight halves
48/1	forty eight over one
45/2	forty five halves
1/2	one half
12/8	twelve eighths
2/3	two thirds
50/50	fifty fiftieths
5/10	five tenths
12/13	twelve thirteenths
3/506	three five hundred sixths
19/20	nineteen twentieths
1/3	one third
1/3	one third
1/3	one third
55/6	fifty five sixths
6½	six and a half
49/44	forty nine forty fourths
9/28	nine twenty eighths
1¼	one and a quarter
1⅞	one and seven eighths
2/4	two quarters
33/2	thirty three halves
2/48	two forty eighths
2/423	two four hundred twenty thirds
0/10	zero tenths
81/100	eighty one one hundredths
18/3	eighteen thirds
977/978	nine hundred seventy seven nine hundred seventy eighths
71/354	seventy one three hundred fifty fourths
9½	nine and a half
2/3	two thirds
5 1/2	five and a half
1/100	one one hundredth
-1/2	minus one half
24/7	twenty four sevenths
2014/5	two thousand fourteen fifths
9/123	nine one hundred twenty thirds
145½	one hundred forty five and a half
½	one half
½	one half
427⅔	four hundred twenty seven and two thirds
1316/17	one thousand three hundred sixteen seventeenths
14/1986	fourteen one thousand nine hundred eighty sixths
96/9	ninety six ninths
70/71	seventy seventy firsts
48/99	forty eight ninety ninths
5/60	five sixtieths
13½	thirteen and a half
38/2006	thirty eight two thousand sixths
1½	one and a half
-20/0	minus twenty zeroths
5/1	five over one
13/2010	thirteen two thousand tenths
8/9	eight ninths
9/27	nine twenty sevenths
24/31	twenty four thirty firsts
492/9	four hundred ninety two ninths
5/2013	five two thousand thirteenths
2/15	two fifteenths
7/6	seven sixths
1/28	one twenty eighth
6/2008	six two thousand eighths
24/7	twenty four sevenths
225/45	two hundred twenty five forty fifths
245/40	two hundred forty five fortieths
1/5	one fifth
45/2003	forty five two thousand thirds
1 1/2	one and a half
34/2	thirty four halves
1/5	one fifth
1/3	one third
1880/81	one thousand eight hundred eighty eighty firsts
10/12	ten twelfths
4/41	four forty firsts
2/32	two thirty seconds
3/29	three twenty ninths
8/1	eight over one
3/64	three sixty fourths
1/2	one half
24/25	twenty four twenty fifths
3½	three and a half
11/1933	eleven one thousand nine hundred thirty thirds
9/2012	nine two thousand twelfths
-707/13	minus seven hundred seven thirteenths
2½	two and a half
12/70	twelve seventieths
2 1/2	two and a half
50/50	fifty fiftieths
3/4	three quarters
1 1/2	one and a half
11/12	eleven twelfths
358/2	three hundred fifty eight halves
7/13	seven thirteenths
8/17	eight seventeenths
1718/19	one thousand seven hundred eighteen nineteenths
13/13	thirteen thirteenths
8/29	eight twenty ninths
1888/89	one thousand eight hundred eighty eight eighty ninths
1/31	one thirty first
10/22	ten twenty seconds
77/22	seventy seven twenty seconds
96/22	ninety six twenty seconds
½	one half
2/13	two thirteenths
11/2	eleven halves
551992/2001	five hundred fifty one thousand nine hundred ninety two two thousand firsts
1/2	one half
917/30	nine hundred seventeen thirtieths
917/30	nine hundred seventeen thirtieths
243/2014	two hundred forty three two thousand fourteenths
-8/13	minus eight thirteenths
259/2014	two hundred fifty nine two thousand fourteenths
2/1999	two one thousand nine hundred ninety ninths
2/13	two thirteenths
¾	three quarters
31/6	thirty one sixths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
16/2	sixteen halves
8/11	eight elevenths
10/11	ten elevenths
-1/16	minus one sixteenth
44/46	forty four forty sixths
11/12	eleven twelfths
52/53	fifty two fifty thirds
1/3	one third
57/58	fifty seven fifty eighths
1/3	one third
1/3	one third
3½	three and a half
11/30	eleven thirtieths
111/3	one hundred eleven thirds
-1/2	minus one half
5/201	five two hundred firsts
86/87	eighty six eighty sevenths
-1/2	minus one half
2002/3	two thousand two thirds
258/2010	two hundred fifty eight two thousand tenths
1/2	one half
919/921	nine hundred nineteen nine hundred twenty firsts
1/2	one half
2001 / 3	two thousand one thirds
24/7	twenty four sevenths
80/100	eighty one hundredths
60/132,032	sixty one hundred thirty two thousand thirty seconds
24/7	twenty four sevenths
55/100	fifty five one hundredths
8/10	eight tenths
9/11	nine elevenths
17 1/8	seventeen and an eighth
44/46	forty four forty sixths
3/21	three twenty firsts
24/7	twenty four sevenths
109/2003	one hundred nine two thousand thirds
-1/2	minus one half
2013/5	two thousand thirteen fifths
2/3	two thirds
2012/75	two thousand twelve seventy fifths
621/1999	six hundred twenty one one thousand nine hundred ninety ninths
20/20	twenty twentieths
2/3	two thirds
1/8	one eighth
1/4	one quarter
226/227	two hundred twenty six two hundred twenty sevenths
1½	one and a half
4/28	four twenty eighths
2780/3780	two thousand seven hundred eighty three thousand seven hundred eightieths
100/75	one hundred seventy fifths
1/2	one half
24/7	twenty four sevenths
85/88	eighty five eighty eighths
12/47	twelve forty sevenths
-1/2	minus one half
1 ½	one and a half
50/50	fifty fiftieths
1/8	one eighth
3/10	three tenths
10/14	ten fourteenths
7/17	seven seventeenths
3/14	three fourteenths
867/2	eight hundred sixty seven halves
½	one half
6/9	six ninths
6/10	six tenths
2010/12	two thousand ten twelfths
9/11	nine elevenths
6½	six and a half
32/14248	thirty two fourteen thousand two hundred forty eighths
1/19	one nineteenth
4/4	four quarters
1764/65	one thousand seven hundred sixty four sixty fifths
1775/76	one thousand seven hundred seventy five seventy sixths
9/10	nine tenths
2006/7	two thousand six sevenths
43/7	forty three sevenths
-12/2	minus twelve halves
1674/75	one thousand six hundred seventy four seventy fifths
35/40	thirty five fortieths
3/21	three twenty firsts
1½	one and a half
3/4	three quarters
9/249	nine two hundred forty ninths
2/11	two elevenths
5/24	five twenty fourths
131/2008	one hundred thirty one two thousand eighths
243/2014	two hundred forty three two thousand fourteenths
1/64	one sixty fourth
6/16	six sixteenths
2 /2004	two two thousand fourths
12/2	twelve halves
5/2004	five two thousand fourths
-707/13	minus seven hundred seven thirteenths
7/26	seven twenty sixths
6/45	six forty fifths
1/2	one half
1112/16	one thousand one hundred twelve sixteenths
26/11	twenty six elevenths
1890/91	one thousand eight hundred ninety ninety firsts
16/116	sixteen one hundred sixteenths
8/3	eight thirds
2 1/2	two and a half
11025/26	eleven thousand twenty five twenty sixths
2/23	two twenty thirds
0/35	zero thirty fifths
⅔	two thirds
10/10	ten tenths
1606/7	one thousand six hundred six sevenths
1897/98	one thousand eight hundred ninety seven ninety eighths
3/6	three sixths
9/11	nine elevenths
13/46	thirteen forty sixths
9/11	nine elevenths
66/4	sixty six quarters
1962/73	one thousand nine hundred sixty two seventy thirds
2/3	two thirds
451/452	four hundred fifty one four hundred fifty seconds
12 / 24	twelve twenty fourths
36/36	thirty six thirty sixths
7/22	seven twenty seconds
5/19	five nineteenths
1/2	one half
2006/190	two thousand six one hundred ninetieths
10/11	ten elevenths
7/9	seven ninths
259/2014	two hundred fifty nine two thousand fourteenths
1/2	one half
1/4	one quarter
169/170	one hundred sixty nine one hundred seventieths
7/3	seven thirds
43/177	forty three one hundred seventy sevenths
1946/47	one thousand nine hundred forty six forty sevenths
2012/13	two thousand twelve thirteenths
9/1	nine over one
1193/228	one thousand one hundred ninety three two hundred twenty eighths
42/5	forty two fifths
-1/2	minus one half
9/11	nine elevenths
4¾	four and three quarters
41/2	forty one halves
9/11	nine elevenths
9/11	nine elevenths
1/10	one tenth
23/9	twenty three ninths
24/7	twenty four sevenths
2/2003	two two thousand thirds
171/878	one hundred seventy one eight hundred seventy eighths
8/4	eight quarters
1/2	one half
½	one half
2/10	two tenths
½	one half
9/27	nine twenty sevenths
16/168	sixteen one hundred sixty eighths
2/1976	two one thousand nine hundred seventy sixths
90/98	ninety ninety eighths
805/807	eight hundred five eight hundred sevenths
2/56	two fifty sixths
7/4	seven quarters
6/8	six eighths
-1/2	minus one half
1962/3	one thousand nine hundred sixty two thirds
11½	eleven and a half
12/1	twelve over one
7/5	seven fifths
7/41	seven forty firsts
4/2008	four two thousand eighths
12/16	twelve sixteenths
99½	ninety nine and a half
1906/7	one thousand nine hundred six sevenths
5/3	five thirds
3½	three and a half
77/78	seventy seven seventy eighths
27/1519	twenty seven one thousand five hundred nineteenths
1/4	one quarter
20/20	twenty twentieths
1/7000	one seven thousandth
2001/2	two thousand one halves
1/2	one half
4/22	four twenty seconds
1983/3	one thousand nine hundred eighty three thirds
1195/1	one thousand one hundred ninety five over one
20/20	twenty twentieths
1/14	one fourteenth
12/20	twelve twentieths
5741/1980	five thousand seven hundred forty one one thousand nine hundred eightieths
8/10	eight tenths
54/959	fifty four nine hundred fifty ninths
1⅔	one and two thirds
11/24	eleven twenty fourths
7/12	seven twelfths
9/20	nine twentieths
2006/7	two thousand six sevenths
2/23	two twenty thirds
5/31	five thirty firsts
27½	twenty seven and a half
70/80	seventy eightieths
98/22	ninety eight twenty seconds
1½	one and a half
3100/3200	three thousand one hundred three thousand two hundredths
10/13	ten thirteenths
3/12	three twelfths
3/13	three thirteenths
67/19	sixty seven nineteenths
3/8	three eighths
1/26	one twenty sixth
11/1992	eleven one thousand nine hundred ninety seconds
1/1	one over one
64/63	sixty four sixty thirds
28/27	twenty eight twenty sevenths
4/34	four thirty fourths
3/4	three quarters
4197/2008	four thousand one hundred ninety seven two thousand eighths
-58/59	minus fifty eight fifty ninths
3/9	three ninths
10/22	ten twenty seconds
36/60	thirty six sixtieths
30/30	thirty thirtieths
89/2010	eighty nine two thousand tenths
11/30	eleven thirtieths
27/28	twenty seven twenty eighths
6/6	six sixths
4/4	four quarters
2008/9	two thousand eight ninths
11/2009	eleven two thousand ninths
6/2011	six two thousand elevenths
2/4	two quarters
7/11	seven elevenths
19/20	nineteen twentieths
16 / 41	sixteen forty firsts
7829/30	seven thousand eight hundred twenty nine thirtieths
55/145	fifty five one hundred forty fifths
4/1995	four one thousand nine hundred ninety fifths
4/30	four thirtieths
4/19	four nineteenths
11/2013	eleven two thousand thirteenths
205/2004	two hundred five two thousand fourths
2½	two and a half
168/1976	one hundred sixty eight one thousand nine hundred seventy sixths
4/4	four quarters
282/6	two hundred eighty two sixths
1/6	one sixth
23/4	twenty three quarters
28/4	twenty eight quarters
850/900	eight hundred fifty nine hundredths
12/29	twelve twenty ninths
1100/80	one thousand one hundred eightieths
66/1	sixty six over one
7/25	seven twenty fifths
86/5	eighty six fifths
331074/3	three hundred thirty one thousand seventy four thirds
2½	two and a half
6/16	six sixteenths
-1/2	minus one half
234/3	two hundred thirty four thirds
2/3	two thirds
1/4	one quarter
1846/47	one thousand eight hundred forty six forty sevenths
1958/9	one thousand nine hundred fifty eight ninths
4/6	four sixths
-93/1750	minus ninety three one thousand seven hundred fiftieths
18/36	eighteen thirty sixths
9/4	nine quarters
1946/47	one thousand nine hundred forty six forty sevenths
1969/70	one thousand nine hundred sixty nine seventieths
2006/58	two thousand six fifty eighths
35/100	thirty five one hundredths
1/16	one sixteenth
2/63	two sixty thirds
5/22	five twenty seconds
31/7	thirty one sevenths
1 2/6	one and two sixths
-1/2	minus one half
3½	three and a half
1857/8	one thousand eight hundred fifty seven eighths
2 1923/24	two and one thousand nine hundred twenty three twenty fourths
10/29	ten twenty ninths
4/13861	four thirteen thousand eight hundred sixty firsts
7/7	seven sevenths
10/11	ten elevenths
26/2001	twenty six two thousand firsts
24/2000	twenty four two thousandths
16/11	sixteen elevenths
1873/4	one thousand eight hundred seventy three quarters
1879/80	one thousand eight hundred seventy nine eightieths
10/11	ten elevenths
10/11	ten elevenths
17/35	seventeen thirty fifths
1750 19/7	one thousand seven hundred fifty and nineteen sevenths
1818 29/7	one thousand eight hundred eighteen and twenty nine sevenths
126/3	one hundred twenty six thirds
9/11	nine elevenths
3/10	three tenths
1519/20	one thousand five hundred nineteen twentieths
1524/27	one thousand five hundred twenty four twenty sevenths
12/2007	twelve two thousand sevenths
25/25	twenty five twenty fifths
14/15	fourteen fifteenths
4½	four and a half
12/6	twelve sixths
166/14873	one hundred sixty six fourteen thousand eight hundred seventy thirds
60/1	sixty over one
6/6	six sixths
3/4	three quarters
2½	two and a half
7/21	seven twenty firsts
7/1	seven over one
6/8	six eighths
4/4	four quarters
10/9	ten ninths
-707/13	minus seven hundred seven thirteenths
4/6	four sixths
24/2006	twenty four two thousand sixths
1/2	one half
2/134806	two one hundred thirty four thousand eight hundred sixths
1/2	one half
46/4	forty six quarters
6/15	six fifteenths
3/18	three eighteenths
5/28	five twenty eighths
100/7	one hundred sevenths
12/20	twelve twentieths
1975/6	one thousand nine hundred seventy five sixths
-1/2	minus one half
2/3	two thirds
1/2	one half
116/3	one hundred sixteen thirds
1747/48	one thousand seven hundred forty seven forty eighths
197/15	one hundred ninety seven fifteenths
½	one half
259/5	two hundred fifty nine fifths
1 1/2	one and a half
12/6	twelve sixths
17/35	seventeen thirty fifths
17/19	seventeen nineteenths
2/78	two seventy eighths
1/97	one ninety seventh
1/4	one quarter
319/1982	three hundred nineteen one thousand nine hundred eighty seconds
22/22	twenty two twenty seconds
10/13	ten thirteenths
9/14	nine fourteenths
26½	twenty six and a half
705/36	seven hundred five thirty sixths
3/16	three sixteenths
358/2	three hundred fifty eight halves
1992/3	one thousand nine hundred ninety two thirds
514/438	five hundred fourteen four hundred thirty eighths
37/1	thirty seven over one
20/20	twenty twentieths
3/4	three quarters
4/4	four quarters
16/6	sixteen sixths
9/35	nine thirty fifths
10126/82	ten thousand one hundred twenty six eighty seconds
1/2	one half
2/3	two thirds
3/5	three fifths
3½	three and a half
23/2	twenty three halves
86/106	eighty six one hundred sixths
2/3	two thirds
6/4	six quarters
151/1	one hundred fifty one over one
1/60	one sixtieth
1/125	one one hundred twenty fifth
1/4	one quarter
3½	three and a half
16/19	sixteen nineteenths
3⅓	three and a third
7 ½	seven and a half
384/1	three hundred eighty four over one
53/100	fifty three one hundredths
12/40	twelve fortieths
2/3	two thirds
4/5	four fifths
6½	six and a half
1/3	one third
1/57	one fifty seventh
1¾	one and three quarters
3/5	three fifths
13/1990	thirteen one thousand nine hundred ninetieths
52/100	fifty two one hundredths
1/2	one half
1/570	one five hundred seventieth
8/200	eight two hundredths
1540/1	one thousand five hundred forty over one
2006/15	two thousand six fifteenths
7/24	seven twenty fourths
7/13	seven thirteenths
11,664 / 13,797	eleven thousand six hundred sixty four thirteen thousand seven hundred ninety sevenths
90/100	ninety one hundredths
6/60	six sixtieths
4/4	four quarters
303/304	three hundred three three hundred fourths
209/210	two hundred nine two hundred tenths
10/3	ten thirds
82/83	eighty two eighty thirds
-2 / 9780891020639	minus two nine trillion seven hundred eighty billion eight hundred ninety one million twenty thousand six hundred thirty ninths
12/13	twelve thirteenths
19/20	nineteen twentieths
22/23	twenty two twenty thirds
22/23	twenty two twenty thirds
8/16	eight sixteenths
1/2	one half
4/4	four quarters
-1/2	minus one half
44/1	forty four over one
9/11	nine elevenths
2010/75	two thousand ten seventy fifths
9/7	nine sevenths
9/16	nine sixteenths
24/7	twenty four sevenths
3/32	three thirty seconds
2000/2	two thousand halves
32/1	thirty two over one
32/2	thirty two halves
10 1/2	ten and a half
22½	twenty two and a half
3/4	three quarters
37/7	thirty seven sevenths
259/2014	two hundred fifty nine two thousand fourteenths
1¼	one and a quarter
4/2007	four two thousand sevenths
3/2010	three two thousand tenths
1848/49	one thousand eight hundred forty eight forty ninths
7/11	seven elevenths
1/8,000	one eight thousandth
10/11	ten elevenths
24/7	twenty four sevenths
243/2014	two hundred forty three two thousand fourteenths
5/35	five thirty fifths
1/4,000	one four thousandth
2440/1	two thousand four hundred forty over one
105/28	one hundred five twenty eighths
2014 / 18	two thousand fourteen eighteenths
4½	four and a half
9/10	nine tenths
7/25	seven twenty fifths
6/9	six ninths
3/4	three quarters
88/9	eighty eight ninths
4/6	four sixths
10/11	ten elevenths
43/44	forty three forty fourths
33/34	thirty three thirty fourths
2/5	two fifths
5/1987	five one thousand nine hundred eighty sevenths
5/1987	five one thousand nine hundred eighty sevenths
1/3	one third
4¾	four and three quarters
8/20	eight twentieths
1/5	one fifth
9/9	nine ninths
12/2009	twelve two thousand ninths
1980/82	one thousand nine hundred eighty eighty seconds
42/43	forty two forty thirds
1 1/2	one and a half
11/13	eleven thirteenths
8/9	eight ninths
3/9	three ninths
3⅔	three and two thirds
10/6	ten sixths
20/20	twenty twentieths
5/15	five fifteenths
1/2	one half
1370/276	one thousand three hundred seventy two hundred seventy sixths
2 1/2	two and a half
12/18	twelve eighteenths
21 / 1998	twenty one one thousand nine hundred ninety eighths
5½	five and a half
238/7	two hundred thirty eight sevenths
9/10	nine tenths
8/6	eight sixths
9/28	nine twenty eighths
1264/66	one thousand two hundred sixty four sixty sixths
1/89	one eighty ninth
2/79	two seventy ninths
11/12	eleven twelfths
7/7	seven sevenths
13/109	thirteen one hundred ninths
12/22	twelve twenty seconds
9/11	nine elevenths
12/14	twelve fourteenths
57/366	fifty seven three hundred sixty sixths
12/13	twelve thirteenths
3/4	three quarters
3/10	three tenths
37½	thirty seven and a half
21/27	twenty one twenty sevenths
1890/91	one thousand eight hundred ninety ninety firsts
1/40	one fortieth
1954/5	one thousand nine hundred fifty four fifths
5/31	five thirty firsts
-1537/38	minus one thousand five hundred thirty seven thirty eighths
1953/4	one thousand nine hundred fifty three quarters
14¼	fourteen and a quarter
3½	three and a half
2 /50	two fiftieths
1/7	one seventh
11/2009	eleven two thousand ninths
3/2	three halves
43/43	forty three forty thirds
2½	two and a half
4/1	four over one
4/2	four halves
2013/51798	two thousand thirteen fifty one thousand seven hundred ninety eighths
6/8	six eighths
12/8	twelve eighths
27/1	twenty seven over one
20/0	twenty zeroths
241/4	two hundred forty one quarters
9900/9930	nine thousand nine hundred nine thousand nine hundred thirtieths
-1/2	minus one half
4/8	four eighths
2/97	two ninety sevenths
8/19	eight nineteenths
10/2009	ten two thousand ninths
1/2	one half
7/2008	seven two thousand eighths
73/78	seventy three seventy eighths
16/8	sixteen eighths
82¼	eighty two and a quarter
14/45	fourteen forty fifths
-5/90	minus five ninetieths
1/8	one eighth
1966/7	one thousand nine hundred sixty six sevenths
62/243	sixty two two hundred forty thirds
2/3	two thirds
1/3	one third
940/36	nine hundred forty thirty sixths
1888/89	one thousand eight hundred eighty eight eighty ninths
1892/92	one thousand eight hundred ninety two ninety seconds
2/3	two thirds
100/100	one hundred one hundredths
9 ¾	nine and three quarters
4/56	four fifty sixths
101/102	one hundred one one hundred seconds
23/24	twenty three twenty fourths
4¾	four and three quarters
7/26	seven twenty sixths
8/31	eight thirty firsts
1579/80	one thousand five hundred seventy nine eightieths
1/3	one third
24/6	twenty four sixths
1/2008	one two thousand eighth
1/4	one quarter
81/350	eighty one three hundred fiftieths
530/531	five hundred thirty five hundred thirty firsts
¾	three quarters
1½	one and a half
9/6	nine sixths
9/11	nine elevenths
251/22	two hundred fifty one twenty seconds
2/4	two quarters
1889/90	one thousand eight hundred eighty nine ninetieths
81/100	eighty one one hundredths
81/100	eighty one one hundredths
26/865	twenty six eight hundred sixty fifths
23½	twenty three and a half
11/1999	eleven one thousand nine hundred ninety ninths
42/2010	forty two two thousand tenths
3/86	three eighty sixths
11/17	eleven seventeenths
-1/2	minus one half
6½	six and a half
1/88	one eighty eighth
1/8	one eighth
103 / 136	one hundred three one hundred thirty sixths
317/318	three hundred seventeen three hundred eighteenths
2/2	two halves
3/1	three over one
1/10	one tenth
61/89	sixty one eighty ninths
14/32	fourteen thirty seconds
10/20	ten twentieths
10/17	ten seventeenths
1886/7	one thousand eight hundred eighty six sevenths
2/32	two thirty seconds
1/21	one twenty first
10/23	ten twenty thirds
10/20	ten twentieths
4/81	four eighty firsts
4 1/2	four and a half
1 1/2	one and a half
14/39	fourteen thirty ninths
2/2	two halves
22/2007	twenty two two thousand sevenths
2/14	two fourteenths
3½	three and a half
11/18	eleven eighteenths
1/316	one three hundred sixteenth
2/10	two tenths
78/419	seventy eight four hundred nineteenths
425/1911	four hundred twenty five one thousand nine hundred elevenths
1/1986	one one thousand nine hundred eighty sixth
3¾	three and three quarters
4¾	four and three quarters
4/57	four fifty sevenths
7/165	seven one hundred sixty fifths
3 1/2	three and a half
1/2	one half
2/17	two seventeenths
1/1	one over one
252/5	two hundred fifty two fifths
2/6	two sixths
5/13	five thirteenths
17/18	seventeen eighteenths
1788/9	one thousand seven hundred eighty eight ninths
10/1961	ten one thousand nine hundred sixty firsts
2006/2136	two thousand six two thousand one hundred thirty sixths
259/2014	two hundred fifty nine two thousand fourteenths
11/29	eleven twenty ninths
9/4	nine quarters
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
1/3	one third
8/9	eight ninths
4/12	four twelfths
97/7	ninety seven sevenths
1370/276	one thousand three hundred seventy two hundred seventy sixths
⅔	two thirds
33/2	thirty three halves
10/28	ten twenty eighths
14/15	fourteen fifteenths
20/20	twenty twentieths
8/8	eight eighths
12285 / 12286	twelve thousand two hundred eighty five twelve thousand two hundred eighty sixths
81/100	eighty one one hundredths
4/5	four fifths
-1/2	minus one half
1973/4	one thousand nine hundred seventy three quarters
5/6	five sixths
30/ 2005	thirty two thousand fifths
9/11	nine elevenths
5/8	five eighths
357/5	three hundred fifty seven fifths
2/11	two elevenths
4/15	four fifteenths
11/14	eleven fourteenths
1207/8	one thousand two hundred seven eighths
319/2009	three hundred nineteen two thousand ninths
11/86	eleven eighty sixths
56/57	fifty six fifty sevenths
2008/9	two thousand eight ninths
5/23	five twenty thirds
22/2002	twenty two two thousand seconds
4 700/1700	four and seven hundred one thousand seven hundredths
21/30	twenty one thirtieths
2/2	two halves
10½	ten and a half
7/16	seven sixteenths
1/4	one quarter
-1/2	minus one half
-11/1	minus eleven over one
10/18	ten eighteenths
15/19	fifteen nineteenths
1946/47	one thousand nine hundred forty six forty sevenths
2012/13	two thousand twelve thirteenths
2/3	two thirds
1950/1	one thousand nine hundred fifty over one
8½	eight and a half
9/19	nine nineteenths
7/8	seven eighths
4/3	four thirds
56/2014	fifty six two thousand fourteenths
3/4	three quarters
5/6	five sixths
24/7	twenty four sevenths
1921/2	one thousand nine hundred twenty one halves
1984/5	one thousand nine hundred eighty four fifths
5/2001	five two thousand firsts
3/5	three fifths
12/1944	twelve one thousand nine hundred forty fourths
11/12	eleven twelfths
1307/12	one thousand three hundred seven twelfths
3/85	three eighty fifths
0/17	zero seventeenths
7/11	seven elevenths
3/4	three quarters
19/20	nineteen twentieths
4/5	four fifths
10/40	ten fortieths
50/50	fifty fiftieths
2/1919	two one thousand nine hundred nineteenths
9/8	nine eighths
2/509	two five hundred ninths
1/2	one half
313/1	three hundred thirteen over one
171/1641	one hundred seventy one one thousand six hundred forty firsts
14 1/4	fourteen and a quarter
2 1/2	two and a half
1/22	one twenty second
28/2004	twenty eight two thousand fourths
14795 / 96	fourteen thousand seven hundred ninety five ninety sixths
1/8	one eighth
2012/3	two thousand twelve thirds
6/10	six tenths
1011/3	one thousand eleven thirds
½	one half
620/720	six hundred twenty seven hundred twentieths
94/95	ninety four ninety fifths
2004/995	two thousand four nine hundred ninety fifths
34/2003	thirty four two thousand thirds
173/174	one hundred seventy three one hundred seventy fourths
¾	three quarters
1/21	one twenty first
-1/8	minus one eighth
-3/8	minus three eighths
95/5458	ninety five five thousand four hundred fifty eighths
4/1988	four one thousand nine hundred eighty eighths
8½	eight and a half
11/12	eleven twelfths
5/3	five thirds
3/3	three thirds
5/23	five twenty thirds
8/18	eight eighteenths
1/2	one half
1713/11	one thousand seven hundred thirteen elevenths
7/31	seven thirty firsts
92/326	ninety two three hundred twenty sixths
1895/6	one thousand eight hundred ninety five sixths
50/67	fifty sixty sevenths
9/23	nine twenty thirds
1/9	one ninth
2½	two and a half
-1500/2	minus one thousand five hundred halves
4/29	four twenty ninths
2 1/2	two and a half
500/600	five hundred six hundredths
4/22	four twenty seconds
4/6	four sixths
2/3	two thirds
7/12	seven twelfths
8/16	eight sixteenths
24/7	twenty four sevenths
2012/642	two thousand twelve six hundred forty seconds
2/1	two over one
4½	four and a half
86/100	eighty six one hundredths
12/99	twelve ninety ninths
6/1	six over one
50/50	fifty fiftieths
11/7	eleven sevenths
8/10	eight tenths
1401/3462	one thousand four hundred one three thousand four hundred sixty seconds
24/2009	twenty four two thousand ninths
15/3	fifteen thirds
1/2	one half
68 1/4	sixty eight and a quarter
1/5	one fifth
4/2002	four two thousand seconds
12/17	twelve seventeenths
20/1	twenty over one
31/8	thirty one eighths
5/16	five sixteenths
107/304	one hundred seven three hundred fourths
4½	four and a half
5/21	five twenty firsts
4/1989	four one thousand nine hundred eighty ninths
-1/2	minus one half
287/96	two hundred eighty seven ninety sixths
⅓	one third
6/7	six sevenths
1825/26	one thousand eight hundred twenty five twenty sixths
11/12	eleven twelfths
2½	two and a half
107/1	one hundred seven over one
5/97	five ninety sevenths
17½	seventeen and a half
2/85	two eighty fifths
10/19	ten nineteenths
8/14	eight fourteenths
3/4	three quarters
2/3	two thirds
2/23	two twenty thirds
1260/61	one thousand two hundred sixty sixty firsts
1896/97	one thousand eight hundred ninety six ninety sevenths
6/7	six sevenths
61/100	sixty one one hundredths
1138/39	one thousand one hundred thirty eight thirty ninths
3/4	three quarters
1½	one and a half
6/1	six over one
55/2	fifty five halves
1½	one and a half
8/2012	eight two thousand twelfths
699/700	six hundred ninety nine seven hundredths
10/10	ten tenths
82/83	eighty two eighty thirds
4/73	four seventy thirds
4/73	four seventy thirds
9/11	nine elevenths
11/2	eleven halves
